"<Device>"
Model,PA5000H
Date,2024-12-10
Time,11:2:54

"<Settings>"
Update Rate,100ms
Crest Factor,3
Efficiency Compensation,OFF
Run Mode,Basic

User,Status,Name,Unit,Expression

Element,Element1,Element2,Element3,Element4,Element5,Element6
Wiring,3P4W,3P4W,3P4W,1P2W,1P2W,1P2W
Voltage Range,600.000000V,600.000000V,600.000000V,1000.000000V,1500.000000V,1.500000V
Voltage Scaling,OFF,OFF,OFF,OFF,OFF,OFF
Voltage Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Current Range,0.050000A,0.050000A,0.050000A,50.000000A,10.000000A,1.000000A
Current Scaling,ON,ON,ON,OFF,OFF,OFF
Current Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor Range,10.000000V,10.000000V,10.000000V,0.050000V,0.050000V,0.050000V
Ext Sensor Ratio,10.000000mV/A,100.000000mV/A,1.000000mV/A,10.000000mV/A,1.000000mV/A,1.000000mV/A
U Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
I Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
U Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
I Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
PT Ratio,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
CT Ratio,1000.000000,1000.000000,1000.000000,1.000000,1.000000,1.000000
Sync source,U1,U2,U3,U4,U1,U1
Wiring Compensation,OFF,OFF,OFF,OFF,OFF,OFF

Store No.,Date,Time,MilliSecond,Urms1,Irms1,P1,fU1,S1,Q1,λ1,Urms2,Irms2,P2,fU2,S2,Q2,λ2,Urms3,Irms3,P3,fU3,S3,Q3,λ3,UrmsΣA,IrmsΣA,PΣA,SΣA,QΣA,λΣA
3296,2024-12-10,11:8:23,618ms,2.30164e+002,8.74368e+000,1.99527e+003,5.06983e+001,2.01248e+003,2.62673e+002,9.91445e-001,2.30139e+002,8.73506e+000,1.99399e+003,5.07002e+001,2.01027e+003,2.55368e+002,9.91899e-001,2.30134e+002,8.69709e+000,1.99369e+003,5.07007e+001,2.00150e+003,1.76662e+002,9.96097e-001,2.30146e+002,8.72528e+000,5.98294e+003,6.02426e+003,6.94703e+002,9.93142e-001
3297,2024-12-10,11:8:23,718ms,2.30152e+002,8.76371e+000,1.99982e+003,5.06985e+001,2.01699e+003,2.62604e+002,9.91488e-001,2.30138e+002,8.69899e+000,1.98574e+003,5.06993e+001,2.00197e+003,2.54356e+002,9.91896e-001,2.30143e+002,8.68469e+000,1.99091e+003,5.06995e+001,1.99872e+003,1.76478e+002,9.96094e-001,2.30144e+002,8.71580e+000,5.97648e+003,6.01768e+003,6.93439e+002,9.93154e-001
3298,2024-12-10,11:8:23,818ms,2.30167e+002,8.75082e+000,1.99723e+003,5.06997e+001,2.01415e+003,2.60470e+002,9.91603e-001,2.30127e+002,8.71401e+000,1.98910e+003,5.07006e+001,2.00533e+003,2.54589e+002,9.91908e-001,2.30140e+002,8.69256e+000,1.99277e+003,5.07000e+001,2.00051e+003,1.75715e+002,9.96135e-001,2.30145e+002,8.71913e+000,5.97911e+003,6.01998e+003,6.90774e+002,9.93211e-001
3299,2024-12-10,11:8:23,918ms,2.30167e+002,8.75887e+000,1.99918e+003,5.06993e+001,2.01600e+003,2.59916e+002,9.91654e-001,2.30129e+002,8.71508e+000,1.98913e+003,5.06983e+001,2.00559e+003,2.56438e+002,9.91792e-001,2.30134e+002,8.68466e+000,1.99080e+003,5.06992e+001,1.99864e+003,1.76892e+002,9.96076e-001,2.30144e+002,8.71954e+000,5.97911e+003,6.02024e+003,6.93245e+002,9.93168e-001
3300,2024-12-10,11:8:24,18ms,2.30165e+002,8.76388e+000,2.00055e+003,5.06988e+001,2.01714e+003,2.58109e+002,9.91780e-001,2.30133e+002,8.66904e+000,1.97849e+003,5.06985e+001,1.99504e+003,2.56433e+002,9.91705e-001,2.30139e+002,8.66835e+000,1.98720e+003,5.06970e+001,1.99492e+003,1.75327e+002,9.96130e-001,2.30146e+002,8.70042e+000,5.96624e+003,6.00709e+003,6.89870e+002,9.93200e-001
3301,2024-12-10,11:8:24,118ms,2.30159e+002,8.77175e+000,2.00232e+003,5.07005e+001,2.01890e+003,2.58194e+002,9.91789e-001,2.30136e+002,8.73241e+000,1.99313e+003,5.06987e+001,2.00964e+003,2.57087e+002,9.91784e-001,2.30136e+002,8.66948e+000,1.98741e+003,5.06987e+001,1.99516e+003,1.75688e+002,9.96115e-001,2.30143e+002,8.72455e+000,5.98285e+003,6.02369e+003,6.90969e+002,9.93220e-001
3302,2024-12-10,11:8:24,218ms,2.30170e+002,8.76716e+000,2.00117e+003,5.07002e+001,2.01794e+003,2.59623e+002,9.91689e-001,2.30138e+002,8.70452e+000,1.98669e+003,5.06991e+001,2.00324e+003,2.57008e+002,9.91736e-001,2.30125e+002,8.66035e+000,1.98501e+003,5.07017e+001,1.99297e+003,1.77928e+002,9.96007e-001,2.30145e+002,8.71068e+000,5.97286e+003,6.01415e+003,6.94558e+002,9.93136e-001
3303,2024-12-10,11:8:24,318ms,2.30162e+002,8.78231e+000,2.00463e+003,5.07012e+001,2.02135e+003,2.59443e+002,9.91729e-001,2.30130e+002,8.66960e+000,1.97915e+003,5.06997e+001,1.99513e+003,2.52053e+002,9.91988e-001,2.30144e+002,8.67330e+000,1.98839e+003,5.07000e+001,1.99610e+003,1.75333e+002,9.96135e-001,2.30145e+002,8.70840e+000,5.97217e+003,6.01259e+003,6.86830e+002,9.93277e-001
3304,2024-12-10,11:8:24,418ms,2.30184e+002,8.79361e+000,2.00728e+003,5.07001e+001,2.02415e+003,2.60770e+002,9.91667e-001,2.30124e+002,8.64433e+000,1.97289e+003,5.06998e+001,1.98927e+003,2.54757e+002,9.91766e-001,2.30137e+002,8.69121e+000,1.99225e+003,5.07004e+001,2.00017e+003,1.77853e+002,9.96039e-001,2.30148e+002,8.70971e+000,5.97241e+003,6.01358e+003,6.93381e+002,9.93154e-001
3305,2024-12-10,11:8:24,518ms,2.30184e+002,8.81418e+000,2.01206e+003,5.06992e+001,2.02888e+003,2.60745e+002,9.91707e-001,2.30117e+002,8.58194e+000,1.95826e+003,5.06996e+001,1.97485e+003,2.55460e+002,9.91598e-001,2.30127e+002,8.68812e+000,1.99156e+003,5.06996e+001,1.99937e+003,1.76590e+002,9.96092e-001,2.30143e+002,8.69474e+000,5.96188e+003,6.00311e+003,6.92796e+002,9.93132e-001
3306,2024-12-10,11:8:24,618ms,2.30176e+002,8.80298e+000,2.00952e+003,5.06993e+001,2.02623e+003,2.59725e+002,9.91751e-001,2.30127e+002,8.57122e+000,1.95535e+003,5.06988e+001,1.97247e+003,2.59266e+002,9.91324e-001,2.30134e+002,8.71677e+000,1.99834e+003,5.06999e+001,2.00602e+003,1.75398e+002,9.96170e-001,2.30146e+002,8.69699e+000,5.96321e+003,6.00473e+003,6.94389e+002,9.93087e-001
3307,2024-12-10,11:8:24,718ms,2.30169e+002,8.78383e+000,2.00520e+003,5.06986e+001,2.02176e+003,2.58244e+002,9.91809e-001,2.30133e+002,8.64116e+000,1.97098e+003,5.07005e+001,1.98862e+003,2.64267e+002,9.91131e-001,2.30129e+002,8.73459e+000,2.00210e+003,5.06998e+001,2.01009e+003,1.79052e+002,9.96025e-001,2.30144e+002,8.71986e+000,5.97828e+003,6.02047e+003,7.01563e+002,9.92993e-001
3308,2024-12-10,11:8:24,818ms,2.30167e+002,8.75758e+000,1.99906e+003,5.07005e+001,2.01571e+003,2.58546e+002,9.91740e-001,2.30123e+002,8.59680e+000,1.96129e+003,5.07015e+001,1.97832e+003,2.59054e+002,9.91389e-001,2.30134e+002,8.71802e+000,1.99846e+003,5.07014e+001,2.00631e+003,1.77265e+002,9.96089e-001,2.30141e+002,8.69080e+000,5.95881e+003,6.00034e+003,6.94864e+002,9.93079e-001
3309,2024-12-10,11:8:24,918ms,2.30175e+002,8.76435e+000,2.00076e+003,5.06990e+001,2.01733e+003,2.58042e+002,9.91785e-001,2.30119e+002,8.64243e+000,1.97206e+003,5.06998e+001,1.98879e+003,2.57367e+002,9.91591e-001,2.30142e+002,8.71820e+000,1.99851e+003,5.07003e+001,2.00643e+003,1.78009e+002,9.96057e-001,2.30145e+002,8.70833e+000,5.97134e+003,6.01255e+003,6.93417e+002,9.93147e-001
3310,2024-12-10,11:8:25,18ms,2.30163e+002,8.75340e+000,1.99777e+003,5.07002e+001,2.01471e+003,2.60675e+002,9.91594e-001,2.30116e+002,8.70811e+000,1.98777e+003,5.07001e+001,2.00388e+003,2.53560e+002,9.91962e-001,2.30148e+002,8.70061e+000,1.99441e+003,5.06988e+001,2.00243e+003,1.79038e+002,9.95995e-001,2.30142e+002,8.72071e+000,5.97995e+003,6.02101e+003,6.93274e+002,9.93180e-001
3311,2024-12-10,11:8:25,118ms,2.30170e+002,8.74274e+000,1.99529e+003,5.06992e+001,2.01232e+003,2.61260e+002,9.91536e-001,2.30125e+002,8.73094e+000,1.99336e+003,5.06988e+001,2.00920e+003,2.51867e+002,9.92112e-001,2.30144e+002,8.69557e+000,1.99343e+003,5.06991e+001,2.00124e+003,1.76617e+002,9.96098e-001,2.30146e+002,8.72309e+000,5.98207e+003,6.02276e+003,6.89745e+002,9.93244e-001
3312,2024-12-10,11:8:25,218ms,2.30168e+002,8.74045e+000,1.99489e+003,5.07007e+001,2.01177e+003,2.60061e+002,9.91610e-001,2.30132e+002,8.70995e+000,1.98832e+003,5.07020e+001,2.00444e+003,2.53683e+002,9.91959e-001,2.30132e+002,8.69598e+000,1.99350e+003,5.06991e+001,2.00122e+003,1.75636e+002,9.96141e-001,2.30144e+002,8.71546e+000,5.97671e+003,6.01743e+003,6.89379e+002,9.93233e-001
3313,2024-12-10,11:8:25,318ms,2.30168e+002,8.73985e+000,1.99481e+003,5.07004e+001,2.01163e+003,2.59608e+002,9.91638e-001,2.30120e+002,8.73946e+000,1.99472e+003,5.07002e+001,2.01112e+003,2.56342e+002,9.91843e-001,2.30144e+002,8.67585e+000,1.98891e+003,5.06985e+001,1.99669e+003,1.76130e+002,9.96102e-001,2.30144e+002,8.71839e+000,5.97844e+003,6.01944e+003,6.92080e+002,9.93187e-001
3314,2024-12-10,11:8:25,418ms,2.30158e+002,8.75129e+000,1.99702e+003,5.06998e+001,2.01418e+003,2.62373e+002,9.91479e-001,2.30141e+002,8.67437e+000,1.97934e+003,5.06998e+001,1.99633e+003,2.59842e+002,9.91493e-001,2.30129e+002,8.66896e+000,1.98721e+003,5.06998e+001,1.99498e+003,1.75893e+002,9.96106e-001,2.30143e+002,8.69820e+000,5.96357e+003,6.00548e+003,6.98108e+002,9.93021e-001
3315,2024-12-10,11:8:25,518ms,2.30169e+002,8.76511e+000,2.00052e+003,5.06980e+001,2.01746e+003,2.60923e+002,9.91601e-001,2.30132e+002,8.74484e+000,1.99554e+003,5.06986e+001,2.01246e+003,2.60485e+002,9.91588e-001,2.30132e+002,8.65564e+000,1.98400e+003,5.07003e+001,1.99194e+003,1.77623e+002,9.96016e-001,2.30144e+002,8.72186e+000,5.98005e+003,6.02186e+003,6.99030e+002,9.93057e-001
3316,2024-12-10,11:8:25,618ms,2.30161e+002,8.77054e+000,2.00190e+003,5.07015e+001,2.01864e+003,2.59425e+002,9.91708e-001,2.30143e+002,8.72654e+000,1.99164e+003,5.06994e+001,2.00835e+003,2.58573e+002,9.91677e-001,2.30127e+002,8.65032e+000,1.98258e+003,5.06974e+001,1.99068e+003,1.79347e+002,9.95933e-001,2.30144e+002,8.71580e+000,5.97612e+003,6.01767e+003,6.97344e+002,9.93095e-001
3317,2024-12-10,11:8:25,718ms,2.30163e+002,8.79289e+000,2.00691e+003,5.06992e+001,2.02380e+003,2.60937e+002,9.91653e-001,2.30133e+002,8.68272e+000,1.98206e+003,5.07005e+001,1.99818e+003,2.53328e+002,9.91931e-001,2.30142e+002,8.67677e+000,1.98886e+003,5.06991e+001,1.99689e+003,1.78927e+002,9.95978e-001,2.30146e+002,8.71746e+000,5.97782e+003,6.01887e+003,6.93192e+002,9.93180e-001
3318,2024-12-10,11:8:25,818ms,2.30173e+002,8.80487e+000,2.00959e+003,5.06991e+001,2.02664e+003,2.62350e+002,9.91586e-001,2.30125e+002,8.64228e+000,1.97279e+003,5.07002e+001,1.98881e+003,2.51854e+002,9.91949e-001,2.30133e+002,8.66266e+000,1.98556e+003,5.06989e+001,1.99357e+003,1.78483e+002,9.95984e-001,2.30144e+002,8.70327e+000,5.96794e+003,6.00901e+003,6.92687e+002,9.93165e-001
3319,2024-12-10,11:8:25,918ms,2.30182e+002,8.80728e+000,2.01060e+003,5.06992e+001,2.02727e+003,2.59457e+002,9.91776e-001,2.30114e+002,8.61372e+000,1.96603e+003,5.06992e+001,1.98214e+003,2.52204e+002,9.91872e-001,2.30131e+002,8.69622e+000,1.99349e+003,5.06992e+001,2.00127e+003,1.76314e+002,9.96112e-001,2.30142e+002,8.70574e+000,5.97012e+003,6.01069e+003,6.87975e+002,9.93251e-001
3320,2024-12-10,11:8:26,18ms,2.30179e+002,8.79890e+000,2.00850e+003,5.06989e+001,2.02532e+003,2.60450e+002,9.91697e-001,2.30107e+002,8.59174e+000,1.96033e+003,5.07001e+001,1.97702e+003,2.56390e+002,9.91555e-001,2.30138e+002,8.70101e+000,1.99461e+003,5.07012e+001,2.00243e+003,1.76867e+002,9.96092e-001,2.30141e+002,8.69722e+000,5.96344e+003,6.00477e+003,6.93707e+002,9.93116e-001
3321,2024-12-10,11:8:26,118ms,2.30171e+002,8.79577e+000,2.00753e+003,5.06999e+001,2.02453e+003,2.61811e+002,9.91603e-001,2.30123e+002,8.64331e+000,1.97204e+003,5.07003e+001,1.98902e+003,2.59340e+002,9.91463e-001,2.30133e+002,8.71885e+000,1.99883e+003,5.06988e+001,2.00649e+003,1.75242e+002,9.96179e-001,2.30142e+002,8.71931e+000,5.97840e+003,6.02005e+003,6.96394e+002,9.93082e-001
3322,2024-12-10,11:8:26,218ms,2.30174e+002,8.76869e+000,2.00145e+003,5.06994e+001,2.01832e+003,2.60450e+002,9.91639e-001,2.30136e+002,8.58669e+000,1.95886e+003,5.06984e+001,1.97610e+003,2.60479e+002,9.91274e-001,2.30127e+002,8.73401e+000,2.00211e+003,5.06996e+001,2.00993e+003,1.77178e+002,9.96107e-001,2.30146e+002,8.69646e+000,5.96242e+003,6.00436e+003,6.98107e+002,9.93015e-001
3323,2024-12-10,11:8:26,318ms,2.30162e+002,8.77119e+000,2.00180e+003,5.07006e+001,2.01879e+003,2.61386e+002,9.91583e-001,2.30139e+002,8.61309e+000,1.96536e+003,5.07014e+001,1.98221e+003,2.57905e+002,9.91500e-001,2.30130e+002,8.70843e+000,1.99612e+003,5.06986e+001,2.00407e+003,1.78342e+002,9.96033e-001,2.30144e+002,8.69757e+000,5.96328e+003,6.00507e+003,6.97632e+002,9.93040e-001
3324,2024-12-10,11:8:26,418ms,2.30165e+002,8.75083e+000,1.99708e+003,5.06998e+001,2.01414e+003,2.61580e+002,9.91531e-001,2.30125e+002,8.70681e+000,1.98732e+003,5.07013e+001,2.00365e+003,2.55305e+002,9.91849e-001,2.30137e+002,8.70633e+000,1.99578e+003,5.06993e+001,2.00365e+003,1.77456e+002,9.96070e-001,2.30142e+002,8.72132e+000,5.98018e+003,6.02144e+003,6.94340e+002,9.93147e-001
3325,2024-12-10,11:8:26,518ms,2.30163e+002,8.75565e+000,1.99798e+003,5.07020e+001,2.01522e+003,2.63064e+002,9.91443e-001,2.30131e+002,8.71927e+000,1.99049e+003,5.07006e+001,2.00658e+003,2.53531e+002,9.91986e-001,2.30139e+002,8.70388e+000,1.99508e+003,5.06984e+001,2.00310e+003,1.79000e+002,9.95999e-001,2.30144e+002,8.72626e+000,5.98356e+003,6.02490e+003,6.95596e+002,9.93139e-001
3326,2024-12-10,11:8:26,618ms,2.30158e+002,8.74250e+000,1.99498e+003,5.06991e+001,2.01215e+003,2.62306e+002,9.91467e-001,2.30127e+002,8.70694e+000,1.98780e+003,5.07010e+001,2.00370e+003,2.51917e+002,9.92065e-001,2.30139e+002,8.69610e+000,1.99355e+003,5.06990e+001,2.00131e+003,1.76031e+002,9.96124e-001,2.30141e+002,8.71518e+000,5.97634e+003,6.01716e+003,6.90254e+002,9.93215e-001
3327,2024-12-10,11:8:26,718ms,2.30161e+002,8.74442e+000,1.99554e+003,5.07014e+001,2.01263e+003,2.61668e+002,9.91512e-001,2.30137e+002,8.72779e+000,1.99241e+003,5.07015e+001,2.00859e+003,2.54456e+002,9.91943e-001,2.30128e+002,8.69156e+000,1.99252e+003,5.06998e+001,2.00017e+003,1.74843e+002,9.96172e-001,2.30142e+002,8.72126e+000,5.98047e+003,6.02139e+003,6.90967e+002,9.93204e-001
3328,2024-12-10,11:8:26,818ms,2.30165e+002,8.76240e+000,1.99973e+003,5.07008e+001,2.01679e+003,2.61793e+002,9.91539e-001,2.30133e+002,8.66723e+000,1.97768e+003,5.06995e+001,1.99461e+003,2.59383e+002,9.91508e-001,2.30128e+002,8.67728e+000,1.98913e+003,5.06993e+001,1.99689e+003,1.75872e+002,9.96114e-001,2.30142e+002,8.70231e+000,5.96653e+003,6.00829e+003,6.97048e+002,9.93050e-001
3329,2024-12-10,11:8:26,918ms,2.30158e+002,8.76661e+000,2.00076e+003,5.07017e+001,2.01770e+003,2.60929e+002,9.91603e-001,2.30129e+002,8.73219e+000,1.99254e+003,5.07001e+001,2.00953e+003,2.60732e+002,9.91547e-001,2.30148e+002,8.67613e+000,1.98903e+003,5.06990e+001,1.99679e+003,1.75925e+002,9.96111e-001,2.30145e+002,8.72498e+000,5.98233e+003,6.02402e+003,6.97585e+002,9.93079e-001
3330,2024-12-10,11:8:27,18ms,2.30159e+002,8.77419e+000,2.00249e+003,5.07000e+001,2.01946e+003,2.61257e+002,9.91596e-001,2.30127e+002,8.73249e+000,1.99289e+003,5.06994e+001,2.00958e+003,2.58524e+002,9.91691e-001,2.30143e+002,8.65706e+000,1.98458e+003,5.06989e+001,1.99236e+003,1.75996e+002,9.96091e-001,2.30143e+002,8.72125e+000,5.97995e+003,6.02140e+003,6.95777e+002,9.93115e-001
3331,2024-12-10,11:8:27,118ms,2.30160e+002,8.77123e+000,2.00169e+003,5.07005e+001,2.01879e+003,2.62202e+002,9.91530e-001,2.30130e+002,8.69848e+000,1.98552e+003,5.06994e+001,2.00178e+003,2.54629e+002,9.91877e-001,2.30136e+002,8.67860e+000,1.98940e+003,5.06993e+001,1.99726e+003,1.77035e+002,9.96064e-001,2.30142e+002,8.71610e+000,5.97661e+003,6.01783e+003,6.93867e+002,9.93150e-001
3332,2024-12-10,11:8:27,218ms,2.30172e+002,8.79204e+000,2.00650e+003,5.07001e+001,2.02368e+003,2.63195e+002,9.91506e-001,2.30116e+002,8.65060e+000,1.97453e+003,5.06995e+001,1.99064e+003,2.52778e+002,9.91905e-001,2.30142e+002,8.66811e+000,1.98704e+003,5.07008e+001,1.99490e+003,1.76875e+002,9.96062e-001,2.30144e+002,8.70358e+000,5.96806e+003,6.00922e+003,6.92848e+002,9.93151e-001
3333,2024-12-10,11:8:27,318ms,2.30177e+002,8.79703e+000,2.00799e+003,5.07012e+001,2.02487e+003,2.60887e+002,9.91665e-001,2.30131e+002,8.62088e+000,1.96757e+003,5.06988e+001,1.98393e+003,2.54320e+002,9.91750e-001,2.30125e+002,8.70151e+000,1.99475e+003,5.06994e+001,2.00244e+003,1.75323e+002,9.96160e-001,2.30144e+002,8.70647e+000,5.97031e+003,6.01124e+003,6.90530e+002,9.93190e-001
3334,2024-12-10,11:8:27,418ms,2.30166e+002,8.78798e+000,2.00592e+003,5.06990e+001,2.02270e+003,2.59933e+002,9.91708e-001,2.30131e+002,8.58699e+000,1.95932e+003,5.06999e+001,1.97613e+003,2.57205e+002,9.91494e-001,2.30128e+002,8.69244e+000,1.99256e+003,5.06992e+001,2.00038e+003,1.76700e+002,9.96091e-001,2.30142e+002,8.68913e+000,5.95780e+003,5.99920e+003,6.93838e+002,9.93099e-001
3335,2024-12-10,11:8:27,518ms,2.30176e+002,8.79540e+000,2.00748e+003,5.06988e+001,2.02449e+003,2.61881e+002,9.91598e-001,2.30135e+002,8.64983e+000,1.97367e+003,5.07005e+001,1.99063e+003,2.59287e+002,9.91481e-001,2.30131e+002,8.72500e+000,2.00015e+003,5.07011e+001,2.00790e+003,1.76179e+002,9.96143e-001,2.30147e+002,8.72341e+000,5.98130e+003,6.02301e+003,6.97347e+002,9.93074e-001
3336,2024-12-10,11:8:27,618ms,2.30167e+002,8.77127e+000,2.00192e+003,5.06995e+001,2.01886e+003,2.61015e+002,9.91607e-001,2.30123e+002,8.58500e+000,1.95865e+003,5.06996e+001,1.97561e+003,2.58264e+002,9.91418e-001,2.30140e+002,8.71911e+000,1.99882e+003,5.06988e+001,2.00662e+003,1.76768e+002,9.96112e-001,2.30144e+002,8.69180e+000,5.95939e+003,6.00109e+003,6.96048e+002,9.93051e-001
3337,2024-12-10,11:8:27,718ms,2.30169e+002,8.76165e+000,1.99943e+003,5.06974e+001,2.01666e+003,2.63065e+002,9.91455e-001,2.30126e+002,8.61612e+000,1.96596e+003,5.07001e+001,1.98280e+003,2.57844e+002,9.91509e-001,2.30135e+002,8.71389e+000,1.99759e+003,5.06995e+001,2.00537e+003,1.76496e+002,9.96119e-001,2.30143e+002,8.69722e+000,5.96297e+003,6.00482e+003,6.97405e+002,9.93031e-001
3338,2024-12-10,11:8:27,818ms,2.30169e+002,8.76607e+000,2.00062e+003,5.06992e+001,2.01767e+003,2.61804e+002,9.91546e-001,2.30130e+002,8.69554e+000,1.98465e+003,5.06986e+001,2.00110e+003,2.56056e+002,9.91780e-001,2.30129e+002,8.69312e+000,1.99272e+003,5.06996e+001,2.00054e+003,1.76705e+002,9.96091e-001,2.30142e+002,8.71824e+000,5.97798e+003,6.01931e+003,6.94565e+002,9.93134e-001
3339,2024-12-10,11:8:27,918ms,2.30158e+002,8.74845e+000,1.99635e+003,5.07006e+001,2.01353e+003,2.62421e+002,9.91471e-001,2.30129e+002,8.72355e+000,1.99143e+003,5.07007e+001,2.00754e+003,2.53838e+002,9.91974e-001,2.30145e+002,8.69114e+000,1.99243e+003,5.06974e+001,2.00022e+003,1.76388e+002,9.96104e-001,2.30144e+002,8.72104e+000,5.98021e+003,6.02129e+003,6.92647e+002,9.93178e-001
3340,2024-12-10,11:8:28,18ms,2.30159e+002,8.75485e+000,1.99791e+003,5.06999e+001,2.01501e+003,2.61948e+002,9.91514e-001,2.30127e+002,8.70258e+000,1.98640e+003,5.06996e+001,2.00269e+003,2.54950e+002,9.91864e-001,2.30144e+002,8.68990e+000,1.99211e+003,5.06985e+001,1.99993e+003,1.76701e+002,9.96089e-001,2.30143e+002,8.71578e+000,5.97642e+003,6.01763e+003,6.93600e+002,9.93151e-001
3341,2024-12-10,11:8:28,118ms,2.30156e+002,8.74617e+000,1.99598e+003,5.06997e+001,2.01299e+003,2.61151e+002,9.91549e-001,2.30130e+002,8.71228e+000,1.98905e+003,5.06996e+001,2.00496e+003,2.52046e+002,9.92067e-001,2.30141e+002,8.68751e+000,1.99172e+003,5.06991e+001,1.99935e+003,1.74505e+002,9.96184e-001,2.30142e+002,8.71532e+000,5.97675e+003,6.01729e+003,6.87702e+002,9.93262e-001
3342,2024-12-10,11:8:28,218ms,2.30170e+002,8.75752e+000,1.99874e+003,5.07001e+001,2.01572e+003,2.61063e+002,9.91578e-001,2.30139e+002,8.71421e+000,1.98921e+003,5.06992e+001,2.00548e+003,2.54995e+002,9.91884e-001,2.30128e+002,8.68039e+000,1.98989e+003,5.06991e+001,1.99760e+003,1.75253e+002,9.96144e-001,2.30146e+002,8.71737e+000,5.97784e+003,6.01880e+003,6.91311e+002,9.93195e-001
3343,2024-12-10,11:8:28,318ms,2.30161e+002,8.76905e+000,2.00116e+003,5.06992e+001,2.01829e+003,2.62411e+002,9.91512e-001,2.30140e+002,8.66615e+000,1.97757e+003,5.07003e+001,1.99443e+003,2.58762e+002,9.91548e-001,2.30133e+002,8.65586e+000,1.98414e+003,5.06988e+001,1.99200e+003,1.76767e+002,9.96055e-001,2.30145e+002,8.69702e+000,5.96287e+003,6.00472e+003,6.97940e+002,9.93031e-001
3344,2024-12-10,11:8:28,418ms,2.30166e+002,8.76880e+000,2.00130e+003,5.06992e+001,2.01828e+003,2.61235e+002,9.91588e-001,2.30141e+002,8.72794e+000,1.99185e+003,5.06985e+001,2.00866e+003,2.59321e+002,9.91631e-001,2.30129e+002,8.66483e+000,1.98607e+003,5.07014e+001,1.99403e+003,1.77974e+002,9.96009e-001,2.30146e+002,8.72052e+000,5.97922e+003,6.02097e+003,6.98529e+002,9.93067e-001
3345,2024-12-10,11:8:28,518ms,2.30163e+002,8.76899e+000,2.00122e+003,5.06999e+001,2.01830e+003,2.62006e+002,9.91538e-001,2.30130e+002,8.70789e+000,1.98756e+003,5.06996e+001,2.00395e+003,2.55738e+002,9.91823e-001,2.30137e+002,8.65843e+000,1.98463e+003,5.07002e+001,1.99262e+003,1.78336e+002,9.95987e-001,2.30143e+002,8.71177e+000,5.97341e+003,6.01487e+003,6.96081e+002,9.93107e-001
3346,2024-12-10,11:8:28,618ms,2.30165e+002,8.78575e+000,2.00508e+003,5.06989e+001,2.02217e+003,2.62367e+002,9.91547e-001,2.30131e+002,8.67178e+000,1.97957e+003,5.07001e+001,1.99565e+003,2.52813e+002,9.91943e-001,2.30137e+002,8.67689e+000,1.98902e+003,5.07000e+001,1.99687e+003,1.76853e+002,9.96070e-001,2.30144e+002,8.71147e+000,5.97367e+003,6.01469e+003,6.92033e+002,9.93180e-001
3347,2024-12-10,11:8:28,718ms,2.30164e+002,8.80362e+000,2.00918e+003,5.06990e+001,2.02628e+003,2.62646e+002,9.91564e-001,2.30129e+002,8.63787e+000,1.97170e+003,5.06999e+001,1.98783e+003,2.52739e+002,9.91884e-001,2.30140e+002,8.68747e+000,1.99152e+003,5.06999e+001,1.99934e+003,1.76652e+002,9.96089e-001,2.30145e+002,8.70966e+000,5.97240e+003,6.01344e+003,6.92037e+002,9.93174e-001
3348,2024-12-10,11:8:28,818ms,2.30183e+002,8.81147e+000,2.01141e+003,5.06991e+001,2.02825e+003,2.60768e+002,9.91701e-001,2.30122e+002,8.58580e+000,1.95921e+003,5.07013e+001,1.97579e+003,2.55415e+002,9.91609e-001,2.30128e+002,8.68935e+000,1.99210e+003,5.06993e+001,1.99966e+003,1.73771e+002,9.96217e-001,2.30144e+002,8.69554e+000,5.96272e+003,6.00369e+003,6.89954e+002,9.93175e-001
3349,2024-12-10,11:8:28,918ms,2.30165e+002,8.80760e+000,2.01032e+003,5.07002e+001,2.02720e+003,2.61039e+002,9.91675e-001,2.30132e+002,8.55520e+000,1.95142e+003,5.06991e+001,1.96883e+003,2.61225e+002,9.91159e-001,2.30136e+002,8.70447e+000,1.99540e+003,5.07004e+001,2.00321e+003,1.76793e+002,9.96098e-001,2.30144e+002,8.68909e+000,5.95714e+003,5.99924e+003,6.99057e+002,9.92982e-001
3350,2024-12-10,11:8:29,18ms,2.30172e+002,8.77794e+000,2.00346e+003,5.06996e+001,2.02044e+003,2.61386e+002,9.91596e-001,2.30120e+002,8.65913e+000,1.97544e+003,5.06989e+001,1.99264e+003,2.61305e+002,9.91365e-001,2.30139e+002,8.71798e+000,1.99867e+003,5.06997e+001,2.00634e+003,1.75318e+002,9.96175e-001,2.30144e+002,8.71835e+000,5.97757e+003,6.01943e+003,6.98009e+002,9.93046e-001
