"<Device>"
Model,PA5000H
Date,2024-12-10
Time,11:2:54

"<Settings>"
Update Rate,100ms
Crest Factor,3
Efficiency Compensation,OFF
Run Mode,Basic

User,Status,Name,Unit,Expression

Element,Element1,Element2,Element3,Element4,Element5,Element6
Wiring,3P4W,3P4W,3P4W,1P2W,1P2W,1P2W
Voltage Range,600.000000V,600.000000V,600.000000V,1000.000000V,1500.000000V,1.500000V
Voltage Scaling,OFF,OFF,OFF,OFF,OFF,OFF
Voltage Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Current Range,0.050000A,0.050000A,0.050000A,50.000000A,10.000000A,1.000000A
Current Scaling,ON,ON,ON,OFF,OFF,OFF
Current Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor Range,10.000000V,10.000000V,10.000000V,0.050000V,0.050000V,0.050000V
Ext Sensor Ratio,10.000000mV/A,100.000000mV/A,1.000000mV/A,10.000000mV/A,1.000000mV/A,1.000000mV/A
U Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
I Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
U Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
I Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
PT Ratio,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
CT Ratio,1000.000000,1000.000000,1000.000000,1.000000,1.000000,1.000000
Sync source,U1,U2,U3,U4,U1,U1
Wiring Compensation,OFF,OFF,OFF,OFF,OFF,OFF

Store No.,Date,Time,MilliSecond,Urms1,Irms1,P1,fU1,S1,Q1,λ1,Urms2,Irms2,P2,fU2,S2,Q2,λ2,Urms3,Irms3,P3,fU3,S3,Q3,λ3,UrmsΣA,IrmsΣA,PΣA,SΣA,QΣA,λΣA
10,2024-12-10,11:2:55,18ms,2.30170e+002,8.63097e+000,1.97234e+003,4.99993e+001,1.98659e+003,2.37514e+002,9.92827e-001,2.30135e+002,8.62887e+000,1.97176e+003,5.00004e+001,1.98581e+003,2.35813e+002,9.92924e-001,2.30124e+002,8.56824e+000,1.96548e+003,4.99990e+001,1.97176e+003,1.57231e+002,9.96816e-001,2.30143e+002,8.60936e+000,5.90958e+003,5.94416e+003,6.30558e+002,9.94183e-001
11,2024-12-10,11:2:55,118ms,2.30155e+002,8.62725e+000,1.97149e+003,4.99999e+001,1.98560e+003,2.36306e+002,9.92893e-001,2.30145e+002,8.62156e+000,1.97032e+003,5.00011e+001,1.98421e+003,2.34332e+002,9.93002e-001,2.30129e+002,8.57158e+000,1.96653e+003,4.99992e+001,1.97257e+003,1.54167e+002,9.96941e-001,2.30143e+002,8.60680e+000,5.90835e+003,5.94238e+003,6.24804e+002,9.94273e-001
12,2024-12-10,11:2:55,218ms,2.30162e+002,8.62440e+000,1.97114e+003,4.99994e+001,1.98501e+003,2.34216e+002,9.93014e-001,2.30130e+002,8.62234e+000,1.97047e+003,4.99991e+001,1.98425e+003,2.33521e+002,9.93051e-001,2.30136e+002,8.56850e+000,1.96576e+003,4.99998e+001,1.97192e+003,1.55763e+002,9.96875e-001,2.30143e+002,8.60508e+000,5.90737e+003,5.94118e+003,6.23500e+002,9.94308e-001
13,2024-12-10,11:2:55,318ms,2.30154e+002,8.62633e+000,1.97146e+003,4.99994e+001,1.98539e+003,2.34726e+002,9.92987e-001,2.30138e+002,8.62430e+000,1.97096e+003,5.00005e+001,1.98478e+003,2.33790e+002,9.93038e-001,2.30141e+002,8.56886e+000,1.96587e+003,5.00011e+001,1.97205e+003,1.55898e+002,9.96870e-001,2.30144e+002,8.60650e+000,5.90830e+003,5.94221e+003,6.24415e+002,9.94293e-001
14,2024-12-10,11:2:55,418ms,2.30164e+002,8.62198e+000,1.97084e+003,5.00002e+001,1.98447e+003,2.32166e+002,9.93133e-001,2.30130e+002,8.62013e+000,1.97008e+003,4.99992e+001,1.98375e+003,2.32426e+002,9.93112e-001,2.30134e+002,8.57045e+000,1.96627e+003,4.99989e+001,1.97235e+003,1.54769e+002,9.96917e-001,2.30142e+002,8.60419e+000,5.90719e+003,5.94056e+003,6.19361e+002,9.94382e-001
15,2024-12-10,11:2:55,518ms,2.30159e+002,8.62010e+000,1.97038e+003,5.00001e+001,1.98399e+003,2.31980e+002,9.93141e-001,2.30142e+002,8.62169e+000,1.97041e+003,4.99993e+001,1.98421e+003,2.33614e+002,9.93045e-001,2.30130e+002,8.56597e+000,1.96511e+003,4.99995e+001,1.97128e+003,1.55911e+002,9.96867e-001,2.30143e+002,8.60259e+000,5.90590e+003,5.93949e+003,6.21505e+002,9.94346e-001
16,2024-12-10,11:2:55,618ms,2.30157e+002,8.62459e+000,1.97143e+003,5.00000e+001,1.98501e+003,2.31794e+002,9.93159e-001,2.30134e+002,8.62513e+000,1.97129e+003,4.99995e+001,1.98494e+003,2.32350e+002,9.93125e-001,2.30140e+002,8.57034e+000,1.96638e+003,4.99996e+001,1.97237e+003,1.53719e+002,9.96958e-001,2.30144e+002,8.60669e+000,5.90910e+003,5.94233e+003,6.17864e+002,9.94409e-001
17,2024-12-10,11:2:55,718ms,2.30169e+002,8.62291e+000,1.97131e+003,5.00007e+001,1.98472e+003,2.30326e+002,9.93243e-001,2.30120e+002,8.61970e+000,1.97002e+003,4.99997e+001,1.98357e+003,2.31478e+002,9.93168e-001,2.30139e+002,8.57162e+000,1.96664e+003,4.99999e+001,1.97266e+003,1.53950e+002,9.96950e-001,2.30143e+002,8.60474e+000,5.90797e+003,5.94095e+003,6.15754e+002,9.94449e-001
18,2024-12-10,11:2:55,818ms,2.30168e+002,8.63432e+000,1.97398e+003,4.99992e+001,1.98734e+003,2.30041e+002,9.93278e-001,2.30133e+002,8.63225e+000,1.97301e+003,5.00004e+001,1.98657e+003,2.31698e+002,9.93175e-001,2.30137e+002,8.58702e+000,1.96999e+003,4.99992e+001,1.97619e+003,1.56433e+002,9.96862e-001,2.30146e+002,8.61786e+000,5.91698e+003,5.95010e+003,6.18172e+002,9.94434e-001
19,2024-12-10,11:2:55,918ms,2.30169e+002,8.59813e+000,1.96588e+003,4.99984e+001,1.97902e+003,2.27663e+002,9.93361e-001,2.30134e+002,8.59371e+000,1.96394e+003,5.00004e+001,1.97770e+003,2.32893e+002,9.93042e-001,2.30119e+002,8.54262e+000,1.95980e+003,5.00000e+001,1.96582e+003,1.53670e+002,9.96940e-001,2.30140e+002,8.57815e+000,5.88962e+003,5.92254e+003,6.14226e+002,9.94442e-001
