"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","14:33:22"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
   11,2024/12/05,14:31:21,207.00E+00,10.615E+00,2.0760E+03,2.1974E+03,720.41E+00,0.9447E+00,206.72E+00,9.4600E+00,1.8894E+03,1.9556E+03,504.49E+00,0.9662E+00,206.72E+00,10.212E+00,2.0252E+03,2.1110E+03,595.98E+00,0.9593E+00,206.81E+00,10.096E+00,5.9906E+03,6.2641E+03,1.8209E+03,0.9563E+00
   12,2024/12/05,14:31:21,206.85E+00,10.622E+00,2.0753E+03,2.1971E+03,721.38E+00,0.9446E+00,206.67E+00,9.4572E+00,1.8885E+03,1.9545E+03,503.92E+00,0.9662E+00,206.72E+00,10.217E+00,2.0263E+03,2.1120E+03,595.75E+00,0.9594E+00,206.75E+00,10.099E+00,5.9900E+03,6.2637E+03,1.8210E+03,0.9563E+00
   13,2024/12/05,14:31:21,207.05E+00,10.617E+00,2.0771E+03,2.1983E+03,719.85E+00,0.9449E+00,206.63E+00,9.4568E+00,1.8870E+03,1.9541E+03,507.33E+00,0.9657E+00,206.78E+00,10.216E+00,2.0266E+03,2.1125E+03,596.11E+00,0.9594E+00,206.82E+00,10.097E+00,5.9908E+03,6.2649E+03,1.8233E+03,0.9563E+00
   14,2024/12/05,14:31:21,206.92E+00,10.613E+00,2.0748E+03,2.1960E+03,719.36E+00,0.9448E+00,206.71E+00,9.4720E+00,1.8912E+03,1.9579E+03,506.71E+00,0.9659E+00,206.66E+00,10.214E+00,2.0248E+03,2.1108E+03,596.62E+00,0.9592E+00,206.76E+00,10.100E+00,5.9908E+03,6.2648E+03,1.8227E+03,0.9563E+00
   15,2024/12/05,14:31:21,207.00E+00,10.617E+00,2.0762E+03,2.1976E+03,720.43E+00,0.9447E+00,206.62E+00,9.4597E+00,1.8879E+03,1.9545E+03,505.96E+00,0.9659E+00,206.76E+00,10.223E+00,2.0277E+03,2.1136E+03,596.51E+00,0.9594E+00,206.79E+00,10.100E+00,5.9918E+03,6.2658E+03,1.8229E+03,0.9563E+00
   16,2024/12/05,14:31:21,206.95E+00,10.618E+00,2.0758E+03,2.1975E+03,721.31E+00,0.9446E+00,206.66E+00,9.4552E+00,1.8878E+03,1.9540E+03,504.23E+00,0.9661E+00,206.67E+00,10.207E+00,2.0235E+03,2.1095E+03,596.23E+00,0.9592E+00,206.76E+00,10.094E+00,5.9871E+03,6.2611E+03,1.8218E+03,0.9562E+00
   17,2024/12/05,14:31:21,206.82E+00,10.617E+00,2.0738E+03,2.1957E+03,721.56E+00,0.9445E+00,206.61E+00,9.4575E+00,1.8877E+03,1.9540E+03,504.79E+00,0.9661E+00,206.72E+00,10.213E+00,2.0257E+03,2.1113E+03,595.30E+00,0.9594E+00,206.72E+00,10.096E+00,5.9871E+03,6.2610E+03,1.8216E+03,0.9562E+00
   18,2024/12/05,14:31:21,206.99E+00,10.633E+00,2.0787E+03,2.2009E+03,723.12E+00,0.9445E+00,206.67E+00,9.4584E+00,1.8881E+03,1.9548E+03,506.26E+00,0.9659E+00,206.87E+00,10.220E+00,2.0287E+03,2.1143E+03,595.60E+00,0.9595E+00,206.85E+00,10.104E+00,5.9955E+03,6.2700E+03,1.8250E+03,0.9562E+00
   19,2024/12/05,14:31:21,206.99E+00,10.624E+00,2.0779E+03,2.1990E+03,719.55E+00,0.9449E+00,206.60E+00,9.4734E+00,1.8902E+03,1.9572E+03,507.78E+00,0.9658E+00,206.72E+00,10.225E+00,2.0276E+03,2.1137E+03,597.19E+00,0.9593E+00,206.77E+00,10.107E+00,5.9957E+03,6.2699E+03,1.8245E+03,0.9563E+00
   20,2024/12/05,14:31:22,206.87E+00,10.631E+00,2.0776E+03,2.1992E+03,721.23E+00,0.9447E+00,206.67E+00,9.4898E+00,1.8944E+03,1.9613E+03,507.87E+00,0.9659E+00,206.71E+00,10.242E+00,2.0310E+03,2.1172E+03,598.00E+00,0.9593E+00,206.75E+00,10.121E+00,6.0029E+03,6.2777E+03,1.8271E+03,0.9562E+00
