"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.002600,253.540,253.402,253.736,17.541,17.548,17.618,13357.247,436.244,13364.369,50.000
0.022600,253.541,253.402,253.733,17.539,17.545,17.612,13354.395,437.236,13361.551,50.000
0.042600,253.541,253.402,253.731,17.538,17.545,17.617,13355.432,438.578,13362.631,50.000
0.062600,253.541,253.400,253.731,17.536,17.549,17.618,13355.959,439.010,13363.173,50.000
0.082600,253.540,253.400,253.732,17.539,17.545,17.622,13356.959,438.146,13364.143,50.000
0.102600,253.541,253.400,253.730,17.540,17.543,17.614,13354.547,437.966,13361.727,50.000
0.122600,253.542,253.401,253.729,17.537,17.549,17.615,13355.440,441.124,13362.724,50.000
0.142600,253.543,253.400,253.731,17.537,17.544,17.619,13355.558,437.462,13362.720,50.000
0.162600,253.542,253.400,253.729,17.542,17.543,17.614,13354.847,441.132,13362.130,50.000
0.182600,253.540,253.400,253.729,17.538,17.548,17.616,13355.802,436.599,13362.937,50.000
0.202600,253.540,253.399,253.724,17.534,17.540,17.616,13352.573,437.519,13359.740,50.000
0.222600,253.542,253.400,253.727,17.539,17.546,17.620,13356.446,440.488,13363.708,50.000
0.242600,253.539,253.400,253.727,17.544,17.542,17.615,13355.403,439.107,13362.620,50.000
0.262600,253.540,253.399,253.724,17.536,17.545,17.618,13355.131,434.810,13362.208,50.000
0.282600,253.539,253.400,253.724,17.541,17.545,17.617,13355.984,436.915,13363.129,50.000
0.302600,253.542,253.399,253.723,17.538,17.548,17.616,13355.350,440.651,13362.617,50.000
0.322600,253.541,253.399,253.723,17.537,17.543,17.618,13354.509,438.331,13361.700,50.000
0.342600,253.542,253.397,253.722,17.538,17.544,17.615,13354.354,437.979,13361.534,50.000
0.362600,253.541,253.396,253.718,17.545,17.545,17.618,13356.858,436.704,13363.996,50.000
0.382600,253.541,253.396,253.720,17.542,17.545,17.606,13353.056,438.924,13360.268,50.000
0.402600,253.538,253.397,253.719,17.533,17.544,17.615,13352.628,439.387,13359.855,50.000
0.422600,253.542,253.395,253.718,17.532,17.539,17.607,13349.825,430.255,13356.757,50.000
0.442600,253.542,253.397,253.715,17.541,17.544,17.612,13354.398,432.142,13361.389,50.000
0.462600,253.541,253.396,253.717,17.538,17.540,17.615,13353.290,435.902,13360.403,50.000
0.482600,253.541,253.397,253.719,17.542,17.549,17.612,13356.113,434.129,13363.167,50.000
0.502600,253.542,253.396,253.714,17.540,17.548,17.609,13354.533,431.467,13361.501,50.000
0.522600,253.542,253.395,253.715,17.538,17.540,17.611,13352.310,435.365,13359.405,50.000
0.542600,253.540,253.394,253.713,17.541,17.544,17.612,13353.948,436.569,13361.083,50.000
0.562600,253.539,253.395,253.713,17.535,17.546,17.611,13353.168,432.401,13360.167,50.000
0.582600,253.541,253.396,253.711,17.534,17.546,17.617,13354.179,432.844,13361.191,50.000
0.602600,253.540,253.398,253.712,17.536,17.542,17.608,13351.419,435.306,13358.513,50.000
0.622600,253.541,253.395,253.714,17.540,17.543,17.610,13353.186,432.199,13360.179,50.000
0.642600,253.543,253.395,253.710,17.536,17.538,17.609,13350.743,429.805,13357.659,50.000
0.662600,253.541,253.395,253.712,17.541,17.541,17.612,13353.447,434.843,13360.525,50.000
0.682600,253.540,253.392,253.712,17.543,17.543,17.618,13356.121,429.514,13363.026,50.000
0.702600,253.537,253.392,253.707,17.542,17.544,17.618,13355.914,431.235,13362.874,50.000
0.722600,253.539,253.394,253.710,17.544,17.543,17.622,13357.105,433.363,13364.134,50.000
