"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.014700,230.596,230.449,230.789,19.249,19.253,19.303,13323.439,437.606,13330.624,52.000
0.033900,230.597,230.441,230.791,19.256,19.253,19.300,13324.075,438.783,13331.298,52.000
0.053200,230.593,230.449,230.787,19.248,19.256,19.307,13324.497,441.000,13331.793,52.000
0.072400,230.594,230.447,230.788,19.246,19.249,19.304,13321.703,440.993,13329.000,52.000
0.091600,230.593,230.444,230.790,19.245,19.256,19.300,13322.155,441.809,13329.479,52.000
0.110900,230.594,230.448,230.789,19.248,19.260,19.303,13324.420,440.072,13331.686,52.000
0.130100,230.597,230.449,230.789,19.242,19.251,19.298,13320.138,438.313,13327.348,52.000
0.149300,230.595,230.447,230.786,19.252,19.254,19.301,13323.309,441.724,13330.630,52.000
0.168600,230.593,230.447,230.790,19.241,19.254,19.305,13321.983,439.194,13329.221,52.000
0.187800,230.594,230.450,230.786,19.250,19.257,19.305,13324.620,438.895,13331.847,52.000
0.207000,230.595,230.447,230.787,19.251,19.249,19.304,13322.915,442.910,13330.275,52.000
0.226300,230.594,230.445,230.785,19.246,19.258,19.304,13323.630,441.279,13330.936,52.000
0.245500,230.597,230.452,230.784,19.247,19.258,19.303,13323.888,441.037,13331.185,52.000
0.264700,230.595,230.449,230.784,19.255,19.253,19.303,13324.524,440.759,13331.812,52.000
0.283900,230.596,230.442,230.791,19.247,19.254,19.303,13323.046,438.028,13330.244,52.000
0.303200,230.595,230.450,230.781,19.245,19.248,19.297,13319.628,440.980,13326.926,52.000
0.322400,230.595,230.451,230.788,19.245,19.255,19.303,13322.866,440.816,13330.157,52.000
0.341600,230.595,230.443,230.788,19.250,19.252,19.299,13322.111,441.972,13329.440,52.000
0.360900,230.596,230.448,230.787,19.250,19.252,19.293,13320.979,441.757,13328.303,52.000
0.380100,230.594,230.448,230.783,19.252,19.253,19.299,13323.145,437.590,13330.329,52.000
0.399300,230.595,230.446,230.786,19.247,19.255,19.295,13321.174,438.761,13328.397,52.000
0.418600,230.596,230.447,230.785,19.242,19.251,19.292,13318.527,439.905,13325.790,52.000
0.437800,230.595,230.452,230.785,19.251,19.254,19.299,13322.865,441.666,13330.185,52.000
0.457000,230.596,230.451,230.787,19.252,19.260,19.297,13324.154,441.942,13331.481,52.000
0.476300,230.596,230.445,230.788,19.246,19.257,19.305,13323.977,438.223,13331.181,52.000
0.495500,230.595,230.453,230.782,19.246,19.252,19.296,13320.477,437.845,13327.671,52.000
0.514700,230.593,230.447,230.782,19.246,19.249,19.296,13319.719,440.352,13326.996,52.000
0.533900,230.596,230.442,230.787,19.247,19.249,19.300,13320.881,439.642,13328.134,52.000
0.553200,230.596,230.448,230.779,19.245,19.253,19.301,13321.490,442.885,13328.851,52.000
0.572400,230.595,230.446,230.783,19.236,19.249,19.297,13317.967,440.438,13325.248,52.000
0.591600,230.593,230.443,230.786,19.238,19.248,19.297,13317.754,441.007,13325.054,52.000
0.610900,230.595,230.446,230.785,19.242,19.254,19.298,13320.649,442.345,13327.992,52.000
0.630100,230.597,230.448,230.781,19.248,19.260,19.304,13324.566,438.920,13331.793,52.000
0.649300,230.592,230.442,230.785,19.244,19.256,19.303,13322.376,441.580,13329.691,52.000
0.668600,230.592,230.444,230.784,19.246,19.250,19.304,13321.929,441.716,13329.250,52.000
0.687800,230.593,230.446,230.785,19.234,19.253,19.301,13319.204,439.530,13326.454,52.000
0.707000,230.591,230.442,230.784,19.244,19.248,19.301,13319.968,441.868,13327.295,52.000
0.726300,230.594,230.443,230.791,19.250,19.257,19.307,13324.983,441.658,13332.301,52.000
0.745500,230.594,230.451,230.784,19.248,19.252,19.308,13323.770,440.212,13331.039,52.000
0.764700,230.594,230.448,230.788,19.250,19.251,19.303,13322.725,442.301,13330.064,52.000
0.783900,230.594,230.444,230.790,19.246,19.249,19.304,13321.543,442.081,13328.876,52.000
0.803200,230.594,230.451,230.787,19.244,19.254,19.304,13322.431,441.359,13329.740,52.000
0.822400,230.593,230.449,230.786,19.245,19.248,19.306,13321.571,438.062,13328.771,52.000
0.841600,230.594,230.445,230.791,19.250,19.249,19.301,13322.056,441.776,13329.378,52.000
0.860900,230.594,230.449,230.784,19.243,19.252,19.299,13320.630,440.978,13327.928,52.000
0.880100,230.595,230.451,230.785,19.243,19.254,19.304,13322.263,438.436,13329.476,52.000
