"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.019000,230.594,230.441,230.789,19.232,19.241,19.275,13308.804,471.203,13317.143,47.000
0.040200,230.572,230.421,230.766,19.180,19.278,19.301,13305.514,584.824,13318.359,47.001
0.061500,230.569,230.418,230.755,19.229,19.240,19.284,13302.794,609.311,13316.741,47.000
0.082800,230.572,230.420,230.762,19.230,19.234,19.275,13299.592,611.734,13313.653,47.000
0.104100,230.577,230.423,230.766,19.233,19.228,19.271,13298.299,614.433,13312.486,47.000
0.125400,230.581,230.423,230.767,19.221,19.227,19.270,13295.093,614.544,13309.288,47.000
0.146600,230.585,230.431,230.766,19.224,19.226,19.267,13295.278,613.768,13309.438,47.000
0.167900,230.584,230.433,230.771,19.229,19.226,19.267,13296.178,617.747,13310.521,47.000
0.189200,230.596,230.440,230.778,19.285,19.193,19.248,13299.312,579.644,13311.938,46.999
0.210500,230.615,230.460,230.803,19.231,19.229,19.270,13305.474,473.849,13313.909,47.000
0.231700,230.612,230.460,230.802,19.231,19.228,19.272,13305.807,473.625,13314.233,47.000
0.253000,230.610,230.461,230.802,19.233,19.233,19.274,13307.735,469.401,13316.011,47.000
0.274300,230.608,230.458,230.801,19.230,19.237,19.280,13309.399,467.667,13317.613,47.000
0.295600,230.606,230.454,230.798,19.234,19.238,19.277,13309.927,468.216,13318.159,47.000
0.316800,230.602,230.451,230.799,19.236,19.236,19.284,13311.192,471.454,13319.539,47.000
0.338100,230.601,230.453,230.794,19.232,19.242,19.275,13309.581,470.475,13317.894,47.000
0.359400,230.599,230.451,230.792,19.232,19.245,19.281,13311.490,472.389,13319.869,47.000
0.380700,230.601,230.449,230.792,19.234,19.239,19.278,13309.642,474.440,13318.095,47.000
0.401900,230.598,230.447,230.795,19.237,19.243,19.278,13311.368,474.160,13319.811,47.000
0.423200,230.601,230.451,230.790,19.236,19.247,19.279,13312.087,473.048,13320.488,47.000
0.444500,230.598,230.451,230.793,19.240,19.237,19.284,13312.104,475.685,13320.600,47.000
0.465800,230.600,230.449,230.791,19.247,19.241,19.275,13312.403,479.571,13321.038,47.000
0.487100,230.598,230.448,230.794,19.241,19.247,19.283,13314.222,479.154,13322.841,47.000
0.508300,230.599,230.452,230.789,19.242,19.247,19.278,13313.273,479.219,13321.896,47.000
0.529600,230.599,230.451,230.789,19.243,19.248,19.282,13314.581,480.462,13323.247,47.000
0.550900,230.596,230.451,230.790,19.242,19.247,19.281,13313.734,482.840,13322.486,47.000
0.572200,230.597,230.446,230.793,19.235,19.242,19.279,13310.746,477.541,13319.310,47.000
0.593400,230.595,230.450,230.792,19.247,19.240,19.279,13312.892,479.765,13321.533,47.000
0.614700,230.595,230.449,230.790,19.239,19.242,19.278,13311.419,475.674,13319.915,47.000
0.636000,230.596,230.445,230.787,19.237,19.240,19.285,13311.827,473.954,13320.262,47.000
